thai_name,thai_script,english_name,description,region,image_url,category
Kung thot krathiam phrik Thai,กุ้งทอดกระเทียมพริกไทย,Deep fried prawns with garlic and pepper,Prawns fried with garlic and fresh peppercorns.,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Deep_fried_prawns_with_garlic_and_pepper%2C_Chung_Borikan_2.jpg/120px-Deep_fried_prawns_with_garlic_and_pepper%2C_Chung_Borikan_2.jpg,Deep-fried dishes
Goong Thot Sos Makham,กุ้งทอดซอสมะขาม,Fried Shrimp with Tamarind Sauce,"Crispy fried shrimp topped with a sweet and tangy tamarind sauce, garnished with fried shallots and chilies.",Central,,Seafood dishes
Goong Pad Kapi,กุ้งผัดกะปิ,Shrimp Stir-fried with Shrimp Paste,"Shrimp stir-fried with aromatic shrimp paste, chili, and herbs for a bold and savory flavor.",Central,,Seafood dishes
Goong Pad Med Mamuang,กุ้งผัดเม็ดมะม่วง,Shrimp Stir-fried with Cashew Nuts,"A savory stir-fry of shrimp with crunchy cashew nuts, onions, and dried chili in a sweet-salty sauce.",Central,,Stir-fried dish
Kung yang/kung phao,กุ้งย่าง/กุ้งเผา,Grilled prawns,"Grilled prawns are normally served with a nam chim , a spicy dipping sauce, made with mashed raw garlic and green bird's eye chili peppers, sugar, fish sauce, and lime juice.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Kung_yang.JPG/120px-Kung_yang.JPG,Grilled dishes
Goong Ob Woon Sen,กุ้งอบวุ้นเส้น,Baked Shrimp with Glass Noodles,"Shrimp baked with glass noodles, soy sauce, ginger, and herbs in a clay pot, giving it a fragrant and savory flavor.",Central,,Noodle dishes
Goong Ob Woon Sen Mor,กุ้งอบวุ้นเส้นหม้อ,Pot-baked Shrimp with Glass Noodles,"A larger clay pot version of baked shrimp with glass noodles, cooked with soy sauce, pepper, and fresh herbs.",Central,,Noodle dishes
Kung ten,กุ้งเต้น,Dancing shrimp,"A yam-style salad made with raw, and often still alive and ""dancing"", freshwater shrimp . Shrimp of the species Macrobrachium lanchesteri are often used. [ 3 ]",Northeast,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Goong_Ten.jpg/120px-Goong_Ten.jpg,Salads
Kung chae nampla,กุ้งแช่น้ำปลา,Kung chae nampla,"A Thai salad made from fresh raw shrimp soaked in Thai fish sauce and served with sliced bitter gourd , mint, and a spicy sauce made with raw garlic, chillies, lime juice, sugar, and fresh cilantro/coriander.",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/SpicyRawShrimpSalad.jpg/120px-SpicyRawShrimpSalad.jpg,Salads
Goong Roll,กุ้งโรล,Shrimp Roll,"Shrimp wrapped in a crispy pastry roll and deep-fried until golden, served with sweet chili sauce.",Central,,Seafood dishes
Kung sarong,กุ้งโสร่ง,Kung sarong,Deep fried prawns wrapped in egg noodles.,,,Savoury snacks and starters
Koi pla,ก้อยปลา,Koi pla,Minced or finely chopped raw fish in spicy salad dressing. It is a popular raw fish dish in Isan and a common source of infection with Opisthorchis viverrini (Southeast Asian liver fluke ).,Northeast,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Koi_pla.png/120px-Koi_pla.png,Salads
Kuai Tiao Kua Gai,ก๋วยเตี๋ยวคั่วไก่,Stir-fried Noodles with Chicken,"Wide rice noodles stir-fried with chicken, egg, and soy sauce, often served with lettuce and chili sauce.",Central,,Noodle dishes
Kuai-tiao nam,ก๋วยเตี๋ยวน้ำ,Wide rice noodle soup,"A soup of wide rice noodles , often with minced pork, pork balls or fish balls .",,,Noodle dishes
Kuai-tiao phat khi mao,ก๋วยเตี๋ยวผัดขี้เมา,Drunken noodles,Spicy fried wide rice noodles.,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Sen_yai_phat_khi_mao.jpg/120px-Sen_yai_phat_khi_mao.jpg,Noodle dishes
Kuai-tiao rat na,ก๋วยเตี๋ยวราดหน้า,Wide rice noodles in gravy,"Fried wide rice noodles with beef, pork, chicken, or seafood in a thickened gravy.",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kuai-tiao_rat_na_mu.JPG/120px-Kuai-tiao_rat_na_mu.JPG,Noodle dishes
Kuai-tiao nuea pueai,ก๋วยเตี๋ยวเนื้อเปื่อย,Kuai-tiao nuea pueai,A beef noodle soup with slices of very tender beef ( nuea pueay ).,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Kuaitiao_nuea_pueay.JPG/120px-Kuaitiao_nuea_pueay.JPG,Noodle dishes
Kuai-tiao ruea,ก๋วยเตี๋ยวเรือ,Boat noodles,"Rice noodles with beef or pork (and sometimes offal) in a brown broth which contains cinnamon , star anise and sometimes blood. It is spicy and sour.",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Boat_noodles.jpg/120px-Boat_noodles.jpg,Noodle dishes
Khanom kuichai,ขนมกุยช่าย,Fried chive dumplings,"Originally a dish of the Teochew people called ""gu chai gue"" (Chinese script: 韭菜馃) in the Teochew language , these are steamed dumplings made from rice powder and a filling of garlic chives . The dipping sauce for this dish is soy sauce which often is spiced with dried chili flakes. This particular version was fried to give it a crispy texture.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Khanom_kuichai.jpg/120px-Khanom_kuichai.jpg,Savoury snacks and starters
Khanom krok,ขนมครก,Khanom krok,Small coconut hotcakes with different fillings. These are made on a special cast-iron pan with indentations. Two-halves are eventually stuck to one another to form the finished miniature pancake. [ 7 ],,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Khanom_khrok.jpg/120px-Khanom_khrok.jpg,Sweet snacks and desserts
Khanom chin sao nam,ขนมจีนซาวน้ำ,Khanom chin sao nam,"Cold rice noodles served as a salad with thick coconut milk, finely chopped pineapple, sliced raw garlic and Thai chili peppers, pounded dried prawns, shredded ginger, lime juice, fish sauce, and sugar.",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Khanom_chin_sao_nam_BKK.jpg/120px-Khanom_chin_sao_nam_BKK.jpg,Noodle dishes
Khanom jeen nam yaa,ขนมจีนน้ำยา,Khanom jeen nam yaa,Thai rice noodles served with a fish based sauce called nam ya .,Central,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Khanom_Jeen_Nam_Yaa.jpg/120px-Khanom_Jeen_Nam_Yaa.jpg,Noodle dishes
Khanom chin nam ngiao,ขนมจีนน้ำเงี้ยว,Khanom chin nam ngiao,"A speciality of Northern Thailand, it is Thai fermented rice noodles served with pork or chicken blood tofu in a sauce made with pork broth and tomato, crushed fried dry chili peppers, pork blood, dry fermented soy bean, and dried red kapok flowers.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Khanom_chin_nam_ngiao_supoe.jpg/120px-Khanom_chin_nam_ngiao_supoe.jpg,Noodle dishes
Khanom chin kaeng khiao wan kai,ขนมจีนแกงเขียวหวานไก่,Khanom chin kaeng khiao wan kai,"This noodle dish consists of green chicken curry served over khanom chin , fresh Thai rice noodles. It is usually accompanied by a selection of raw vegetables and herbs on the side. The chicken meat used in this particular version is chicken feet .",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Khanom_chin_kaeng_kiao_wan_kai.jpg/120px-Khanom_chin_kaeng_kiao_wan_kai.jpg,Noodle dishes
Khanom chip,ขนมจีบ,Siu mai,"The Thai version of the Chinese steamed dumplings called siu mai in Cantonese . The color indicates the filling: the green dumplings contain a mix of minced pork and crab meat, the others have a filling of only minced pork.",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Khanom_chip.jpg/120px-Khanom_chip.jpg,Savoury snacks and starters
Khanom chan,ขนมชั้น,Khanom chan,"A multi-colored pudding of layers of sticky rice flour and tapioca flour mixed with coconut milk and sugar. Each layer will be differently scented ( pandan , jasmine and more). It is similar to the Indonesian, Malaysian and Singaporean kueh lapis .",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Kue_lapis_-_driekleur_en_rozen.jpg/120px-Kue_lapis_-_driekleur_en_rozen.jpg,Sweet snacks and desserts
Khanom tako,ขนมตะโก้,Khanom tako,Jasmine scented coconut pudding set in cups of fragrant pandan leaf.,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Khanom_tako_sai.jpg/120px-Khanom_tako_sai.jpg,Sweet snacks and desserts
Khanom tako phueak,ขนมตะโก้เผือก,Khanom tako phueak,"Traditional sweets made with coconut milk, rice, flour, sugar, and boiled taro pieces in a banana leaf cone.",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Khanom_tako_pheuak70.jpg/120px-Khanom_tako_pheuak70.jpg,Sweet snacks and desserts
Khanom tan,ขนมตาล,Khanom tan,Palm flavoured miniature cake with shredded coconut on top.,,,Sweet snacks and desserts
Khanom tom,ขนมต้ม,Khanom tom,"These sweets are made by boiling balls of dough made from glutinous rice powder, coconut cream, grated coconut, sugar, and flavorings. Then they are covered with more grated coconut.",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Khanom_tom.JPG/120px-Khanom_tom.JPG,Sweet snacks and desserts
Khanom thuai talai,ขนมถ้วยตะไล,Khanom thuai talai,Steamed sweet coconut jelly and cream.,,,Sweet snacks and desserts
Khanom bua loi,ขนมบัวลอย,Khanom bua loi,Taro root mixed with flour into balls and served in coconut milk.,,,Sweet snacks and desserts
Khanom farang kudi chin,ขนมฝรั่งกุฎีจีน,"""Foreigner's snack of the Chinese church""","Small muffins. The main ingredients are duck eggs, sugar and wheat flour. No butter, milk or yeast. No preservatives. The little cakes are topped with raisins, gourds dipped in syrup, and persimmon. [ 6 ]",Bangkok,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Khanom_Farang_Kudi_Chin%2C_2020-10-10_%281%29.jpg/120px-Khanom_Farang_Kudi_Chin%2C_2020-10-10_%281%29.jpg,Sweet snacks and desserts
Khanom wun,ขนมวุ้น,Khanom wun,These are desserts made with an agar gelatin and the colors represent different flavors.,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/CM_khanom_wun.jpg/120px-CM_khanom_wun.jpg,Sweet snacks and desserts
Khanom mo kaeng,ขนมหม้อแกง,Khanom mo kaeng,"A sweet baked pudding containing coconut milk, eggs, palm sugar, and flour, sprinkled with sweet fried onions.",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Mo_Geng.JPG/120px-Mo_Geng.JPG,Sweet snacks and desserts
Khanom piak pun,ขนมเปียกปูน,Khanom piak pun,"The unique smoky flavor and the deep black color comes from coconut ash. It is made from a mix of sticky rice flour and tapioca flour , together with coconut milk and sugar.",,,Sweet snacks and desserts
Khanom Tokyo,ขนมโตเกียว,Khanom Tokyo,"Literally translated it means ""Tokyo cake"", it is a Thai style crêpe wrapped around a hot dog and sweet chili sauce. The chili sauce can also be served on the side as a dip. Other versions of khanom Tokiao use yam or sweet condensed milk as a filling.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Khanom_Tokiao.jpg/120px-Khanom_Tokiao.jpg,Savoury snacks and starters
Kha Jeow,ข่เจียว,Thai Omelette,"A fluffy Thai-style omelette, deep-fried until golden and crispy, commonly eaten with rice and chili sauce.",Central,,Deep-fried dishes
Khao kan chin,ข้าวกั๊นจิ๊น,Khao kan chin,"A dish of the Tai Yai ( Shan people ) of Myanmar and northern Thailand, it is rice that is mixed with pork blood and steamed inside a banana leaf. Khao kan chin is served with cucumber, onions and fried, dried chili peppers.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/2013_Khao_kan_chin.jpg/120px-2013_Khao_kan_chin.jpg,Rice dishes
Khao kha mu,ข้าวขาหมู,Braised pork leg on rice,"Steamed rice is served with sliced pig's trotters , which has been simmered in soy sauce and five spice powder . It is always served with a sweet spicy dipping sauce, fresh bird's eye chili peppers and cloves of garlic on the side. Boiled egg and a clear broth on the side are optional.",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Khao_kha_mu_02.JPG/120px-Khao_kha_mu_02.JPG,Rice dishes
Khao Kha Moo Kai,ข้าวขาหมูไก่,Stewed Pork Leg with Chicken on Rice,"A hearty rice dish topped with braised pork leg and chicken, served with pickled mustard greens and garlic-chili sauce.",Central,,Rice dishes
Khao khluk kapi,ข้าวคลุกกะปิ,Fried rice with shrimp paste,"Rice is fried with shrimp paste and served with sweet pork, sour mango, fried shrimp, chili peppers, and shallots.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Khao.kluke.kapi-01.jpg/120px-Khao.kluke.kapi-01.jpg,Rice dishes
Khao Jan,ข้าวจาน,Rice Plate,"A general serving of rice presented on a plate, often accompanied by various side dishes or curries.",Central,,Rice dishes
Khao soi Chang Mai,ข้าวซอย,Northern Thai curry noodles,"Boiled as well as crispy fried egg noodles ( bami ) are served in a curry soup. The version with chicken is called khao soi kai , with beef it is called khao soi nuea .",North,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Khao_soi_Chiang_Mai.jpg/120px-Khao_soi_Chiang_Mai.jpg,Noodle dishes
Khao soi noi songkhrueang,ข้าวซอยน้อยทรงเครื่อง,Khao soi noi songkhrueang,"Colloquially also known as pizza doi (Thai: พิซซาดอย, literally: ""mountain pizza""). This is a dish of Shan people . This version uses steamed egg and vegetables as the filling for the steamed rice wrap. The whole is dusted with crushed peanuts.",,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/2019_01_Khao_soi_noi_songkhrueang.jpg/120px-2019_01_Khao_soi_noi_songkhrueang.jpg,Egg dish
Khao soi nam na,ข้าวซอยน้ำหน้า,Khao soi nam na,"Somewhat similar to khao soi Mae Sai , this variant from the eastern part of Chiang Rai Province is made with wide rice noodles in a clear pork broth. A spoonful of nam phrik ong (a sauce made from minced pork, tomato, fermented soy bean or shrimp paste, and dried chili peppers) is heaped on top of the noodles ( nam na literally means ""with sauce on top"").",North,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Khao_soi_nam_na.jpg/120px-Khao_soi_nam_na.jpg,Noodle dishes
Khao soi Mae Sai,ข้าวซอยแม่สาย,Khao soi Mae Sai,"Khao soi Mae Sai is the name in Chiang Mai of a certain type of khao soi that is more common in Chiang Rai province , in the area along the border with Burma and Laos ( Mae Sai is a border town in Chiang Rai province). It is a spicy soup-like dish, similar to the broth used in khanom chin nam ngiao , containing soft, wide rice noodles, pork ribs, congealed pork blood, and minced pork. Tomatoes and fermented soy bean give it its specific taste. Sliced raw cabbage and bean sprouts are served on the side.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Khao_soi_Mae_Sai.JPG/120px-Khao_soi_Mae_Sai.JPG,Noodle dishes
Khao tom,ข้าวต้ม,Thai rice soup,"Boiled rice in a light broth, usually with minced pork, chicken, or fish. It is often eaten for breakfast.",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Khao_tom_pla_01.jpg/120px-Khao_tom_pla_01.jpg,Rice dishes
Khao tom kui,ข้าวต้มกุ๊ย,Congee,Plain rice is cooked to a porridge and eaten as the staple together with a variety of side dishes.,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Khao_tom_kui.jpg/120px-Khao_tom_kui.jpg,Rice dishes
Khao tom mat,ข้าวต้มมัด,Khao tom mat,The dish is made by wrapping sweet banana and sticky rice inside a banana leaf and then steaming it. The banana takes on a pink color after steaming.,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Khao_tom_mat_sai_kluai_01.jpg/120px-Khao_tom_mat_sai_kluai_01.jpg,Sweet snacks and desserts
Khao phat,ข้าวผัด,Thai fried rice,"Fried rice in Thailand can be made with different ingredients. Customarily served with fresh lime, cucumber, spring onions, and nam pla phrik (chili peppers in fish sauce).",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Thaifriedrice.jpg/120px-Thaifriedrice.jpg,Rice dishes
Khao phat kaphrao mu,ข้าวผัดกะเพราหมู,Basil fried rice with pork,"Rice fried with a certain variety of Thai basil called kaphrao ( Ocimum tenuiflorum ), sliced pork, and chili peppers.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Khao_phat_kraphao_mu.jpg/120px-Khao_phat_kraphao_mu.jpg,Rice dishes
Khao Pad Goong Jan Yai,ข้าวผัดกุ้งจานใหญ่,Large Plate of Shrimp Fried Rice,"A generous portion of fried rice stir-fried with shrimp, egg, and vegetables, seasoned with soy sauce and garlic.",Central,,Rice dishes
Khao phat nam phrik narok,ข้าวผัดน้ำพริกนรก,Khao phat nam phrik narok,"The name literally means ""rice fried with chili paste from hell"". The rice is fried with nam phrik narok , a very spicy chili paste made with fried catfish, grilled onion and garlic, grilled (dried) chili peppers, sugar, fish sauce, and shrimp paste. Here it is served with mu yang (grilled pork) and nam chim chaeo , a spicy dipping sauce.",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Khao_phat_nam_phrik_narok.jpg/120px-Khao_phat_nam_phrik_narok.jpg,Rice dishes
Khao phat nam phrik long ruea,ข้าวผัดน้ำพริกลงเรือ,Khao phat nam phrik long ruea,"Rice fried with Nam phrik long ruea (lit. ""boat journey chili paste"") and pieces of khai khem (salted duck's eggs). Fried, sliced, sweet Chinese sausage called kun chiang ( Thai : กุนเชียง ) are also served here with some sliced cucumber on the side.",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Khao_phat_nam_phrik_long_ruea.jpg/120px-Khao_phat_nam_phrik_long_ruea.jpg,Rice dishes
Khao Pad Poo,ข้าวผัดปู,Crab Fried Rice,"Thai-style fried rice stir-fried with sweet crab meat, egg, and scallions, often served with lime and cucumber.",Central,,Rice dishes
Khao phat namliap,ข้าวผัดหนำเลี้ยบ,Khao phat namliap,"Rice fried with nam liap , the fruit of the Canarium album , also known as ""Chinese olives"".",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Khao_phat_nam_liap.jpg/120px-Khao_phat_nam_liap.jpg,Rice dishes
Khao phat amerikan,ข้าวผัดอเมริกัน,American fried rice,"American fried rice is rice fried with onion, tomato, raisins, and flavored with ketchup. It is often garnished with some sausage, fried chicken, and egg.",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/American_fried_rice.jpg/120px-American_fried_rice.jpg,Rice dishes
Khao phat kaeng khiao wan,ข้าวผัดแกงเขียวหวาน,Khao phat kaeng khiao wan,Rice fried with green curry.,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Khao_phat_kaeng_khiao_wan.jpg/120px-Khao_phat_kaeng_khiao_wan.jpg,Rice dishes
Khao Pad Gai,ข้าวผัดไก่,Chicken Fried Rice,"Fried rice stir-fried with chicken, egg, and vegetables, seasoned with soy sauce and garlic for a savory flavor.",Central,,Rice dishes
Khao Pad Gai / Moo,"ข้าวผัดไก่,หมู",Chicken or Pork Fried Rice,"A classic fried rice dish cooked with either chicken or pork, mixed with egg, scallions, and light seasonings.",Central,,Rice dishes
Khao phan nga muan,ข้าวพันงาม้วน,Khao phan nga muan,"Rolled khao phan with sesame seeds. Khao phan is a specialty from Uttaradit province. Rice flour is mixed with water and let to ferment overnight. The resulting batter is then spread out thinly over a cloth stretched out over a steamer, covered with a hood and let to steam for a few minutes. Rolled up it is served with a chili dip.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Khao_phan_nga_muan.jpg/120px-Khao_phan_nga_muan.jpg,Savoury snacks and starters
Khao phan phak,ข้าวพันผัก,Khao phan phak,"Khao phan are thin, steamed rice sheets made from the fermented batter of rice flour mixed with water. Here it is served as a wrap for stir-fried vegetables.",North,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Khao_phan_phak.jpg/120px-Khao_phan_phak.jpg,Savoury snacks and starters
Khao man gai,ข้าวมันไก่,Chicken rice,"Rice steamed with garlic served with sliced chicken, chicken broth, and a spicy dipping sauce. This is a Thai version of a dish called Wenchang chicken (文昌雞) from Hainan in southern China.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/2013_Khao_man_kai_Chiang_Mai.jpg/120px-2013_Khao_man_kai_Chiang_Mai.jpg,Rice dishes
Khao yam,ข้าวยำ,Khao yam,"A type of Thai rice salad. Here it is shown unmixed, as served at a southern Thai eatery in Korat. This particular version used pomelo, bean sprouts, lime leaves, and toasted coconut flakes, and dried shrimp flakes with the rice.",South,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/2019_02_Khao_yam_unmixed.jpg/120px-2019_02_Khao_yam_unmixed.jpg,Salads
Khao na pet,ข้าวหน้าเป็ด,Red roast duck on rice,Boiled rice with roast duck and duck broth on the side. It is served with sliced chili peppers in soy sauce as a condiment.,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Khao_na_pet.JPG/120px-Khao_na_pet.JPG,Rice dishes
Khao mok nuea,ข้าวหมกเนื้อ,Thai beef biryani,"The Thai version of a ""beef biryani"".",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Khao_mok_nuea.jpg/120px-Khao_mok_nuea.jpg,Rice dishes
Khao mok gai,ข้าวหมกไก่,Chicken biryani,"The Thai version of a ""chicken biryani"". The name literally means ""rice covered chicken"" and this Thai-Muslim dish is made by cooking rice together with the chicken curry.",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Khao_mok_kai.JPG/120px-Khao_mok_kai.JPG,Rice dishes
Khao mu krop,ข้าวหมูกรอบ,Crispy pork on rice,"Rice and crispy pork that is often, as here in this image, served with boiled egg and a bowl of broth. The sauce that always comes with khao mu krop is here served separately in the bowl at the top of the image.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Khao_mu_krop.jpg/120px-Khao_mu_krop.jpg,Rice dishes
Khao mu krop mu daeng,ข้าวหมูกรอบหมูแดง,Mixed crispy pork and red roast pork on rice,"Slices of mu krop (crispy pork) and mu daeng ( red roast pork ) served on rice, and often covered with a sticky soy or oyster-sauce based sauce. Very often, a clear soup, boiled egg, cucumber, and spring onion is served on the side. Sliced chili peppers in Chinese black vinegar and dark soy sauce are provided as a condiment for this dish.",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Khao_mu_krop_mu_daeng_in_Nong_Khai.jpg/120px-Khao_mu_krop_mu_daeng_in_Nong_Khai.jpg,Rice dishes
Khao nuea op,ข้าวเนื้ออบ,Khao nuea op,"Rice with slices of baked beef, served with a spicy chili dip.",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Khao_nuea_op.jpg/120px-Khao_nuea_op.jpg,Rice dishes
Khao niao,ข้าวเหนียว,Glutinous or sticky rice,Khao niao is traditionally eaten using only the right hand. It is the staple food of Northern and Northeastern Thais.,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kin_khao_niao.JPG/120px-Kin_khao_niao.JPG,Rice dishes
Khao niao mamuang,ข้าวเหนียวมะม่วง,Mango with sticky rice,"Sticky rice cooked in sweetened thick coconut milk, served with slices of ripe mango. [ 2 ]",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Mango_with_glutinous_rice.jpg/120px-Mango_with_glutinous_rice.jpg,Sweet snacks and desserts
Khao niao sangkhaya,ข้าวเหนียวสังขยา,Khao niao sangkhaya,Sticky rice served with an egg and coconut custard ( coconut jam ).,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Khao_niao_sangkhaya.JPG/120px-Khao_niao_sangkhaya.JPG,Sweet snacks and desserts
